ID,Sentence A,Sentence B
19,나는 최근 자율 주행 관련 이슈나 뉴스 등에 관심이 없습니다.,"만약 차량 제어권 요청이 들어왔을 때, 내가 개입하지 않으면 자율 주행 시스템이 알아서 대응할 것이라고 믿습니다."
20,나는 최근 자율 주행 관련 이슈나 뉴스 등에 관심이 없습니다.,제어권 전환 요청이 오더라도 즉각적으로 대응할 필요는 없다고 생각합니다.
21,나는 최근 자율 주행 관련 이슈나 뉴스 등에 관심이 없습니다.,나는 자율 주행 시스템의 한계를 이해하고 응급 상황에서의 절차를 이해하기 위해 상세한 훈련에 참여하길 원합니다.
22,나는 최근 자율 주행 관련 이슈나 뉴스 등에 관심이 없습니다.,자율 주행 시스템이 부분적으로 오래됐거나 오작동하더라도 차량을 운전하는 것은 괜찮습니다.
23,나는 최근 자율 주행 관련 이슈나 뉴스 등에 관심이 없습니다.,자율 주행 차량을 운전할 때 빨간 불을 지나치는 것은 괜찮습니다.
24,나는 최근 자율 주행 관련 이슈나 뉴스 등에 관심이 없습니다.,나는 노란 불에도 자율 주행 시스템이 운전을 지속하기를 원합니다.
25,나는 자율 주행 관련 소프트웨어 업데이트에 관심이 없습니다.,나는 자율 주행 중 조는 행위에 대해 경각심이 없습니다.
26,나는 자율 주행 관련 소프트웨어 업데이트에 관심이 없습니다.,"자율주행 시스템에서 발생할 수 있는 문제(e.g. 센서 오작동, 소프트웨어 오류, 해킹 등)가 거의 발생하지 않을 것이며, 발생하더라도 이를 해결해주는 장치가 있을 것이라고 믿습니다."
27,나는 자율 주행 관련 소프트웨어 업데이트에 관심이 없습니다.,나는 조건부 자율 주행 중 조는 행위에 경각심이 있습니다.
28,나는 자율 주행 관련 소프트웨어 업데이트에 관심이 없습니다.,자율 주행 기능은 온전하지 않으며 사람의 주행 상황 모니터링과 돌발 상황 대처를 위한 대응을 필요로 합니다.
29,나는 자율 주행 관련 소프트웨어 업데이트에 관심이 없습니다.,자율 주행 기능이 자주 비활성화 될 것 같은 환경에서는 사람이 직접 운전하는 것이 낫습니다.
30,나는 자율 주행 관련 소프트웨어 업데이트에 관심이 없습니다.,나는 자율 주행 시스템이 사용자의 개입 없이 모든 상황을 완벽하게 처리할 것이라고 생각합니다.
31,나는 자율 주행 관련 소프트웨어 업데이트에 관심이 없습니다.,나는 자동 운전 중에도 제어권 전환에 대한 경각심을 가지고 있습니다.
32,나는 자율 주행 관련 소프트웨어 업데이트에 관심이 없습니다.,자율 주행 시스템이 잘 작동하는 경우 시스템의 과속 운전은 허용해도 괜찮습니다.
33,나는 자율 주행 관련 소프트웨어 업데이트에 관심이 없습니다.,때때로 제어권 전환 요청에 응해야 한다고 해도 자율 주행 모드에서 부주의한 상태로 있는 것은 일반적으로 문제가 되지 않습니다.
34,나는 자율 주행 관련 소프트웨어 업데이트에 관심이 없습니다.,조건부 자율 주행 시스템의 지침을 따르지 않으면 교통사고 위험이 증가합니다.
35,나는 자율 주행 관련 소프트웨어 업데이트에 관심이 없습니다.,"나는 조건부 자율 주행 시스템이 자전거 타는 사람들, 보행자, 양보 표지판 등을 알아서 해결할 것이라고 생각합니다."
36,나는 자율 주행 관련 소프트웨어 업데이트에 관심이 없습니다.,상용화된 자율 주행 시스템은 어떠한 문제도 일으키지 않을 것이라 믿습니다.
37,나는 자율 주행 관련 소프트웨어 업데이트에 관심이 없습니다.,여러 단계의 안전 장치가 장착된 자율 주행 시스템을 선호합니다.
38,나는 자율 주행 관련 소프트웨어 업데이트에 관심이 없습니다.,긴급 상황에서의 제동을 처리하기 위해서 자율적인 개입 없이 자율 주행 시스템에만 의존합니다.
39,나는 자율 주행 관련 소프트웨어 업데이트에 관심이 없습니다.,언제든지 자율 주행 시스템의 제어권을 수동으로 가져올 준비가 되어있어야 한다고 생각합니다.
40,나는 자율 주행 관련 소프트웨어 업데이트에 관심이 없습니다.,자율 주행 시스템은 각종 위험에 대해 보수적으로 작동하기 때문에 모든 경고를 심각하게 받아들일 필요는 없습니다.
41,나는 자율 주행 관련 소프트웨어 업데이트에 관심이 없습니다.,사람의 감독 없이도 자율 주행 시스템이 거친 도로나 일방통행 도로를 알아서 주행할 것이라고 믿습니다.
42,나는 자율 주행 관련 소프트웨어 업데이트에 관심이 없습니다.,"만약 차량 제어권 요청이 들어왔을 때, 내가 개입하지 않으면 자율 주행 시스템이 알아서 대응할 것이라고 믿습니다."
43,나는 자율 주행 관련 소프트웨어 업데이트에 관심이 없습니다.,제어권 전환 요청이 오더라도 즉각적으로 대응할 필요는 없다고 생각합니다.
44,나는 자율 주행 관련 소프트웨어 업데이트에 관심이 없습니다.,나는 자율 주행 시스템의 한계를 이해하고 응급 상황에서의 절차를 이해하기 위해 상세한 훈련에 참여하길 원합니다.
45,나는 자율 주행 관련 소프트웨어 업데이트에 관심이 없습니다.,자율 주행 시스템이 부분적으로 오래됐거나 오작동하더라도 차량을 운전하는 것은 괜찮습니다.
46,나는 자율 주행 관련 소프트웨어 업데이트에 관심이 없습니다.,자율 주행 차량을 운전할 때 빨간 불을 지나치는 것은 괜찮습니다.
47,나는 자율 주행 관련 소프트웨어 업데이트에 관심이 없습니다.,나는 노란 불에도 자율 주행 시스템이 운전을 지속하기를 원합니다.
48,나는 자율 주행 중 조는 행위에 대해 경각심이 없습니다.,"자율주행 시스템에서 발생할 수 있는 문제(e.g. 센서 오작동, 소프트웨어 오류, 해킹 등)가 거의 발생하지 않을 것이며, 발생하더라도 이를 해결해주는 장치가 있을 것이라고 믿습니다."
49,나는 자율 주행 중 조는 행위에 대해 경각심이 없습니다.,나는 조건부 자율 주행 중 조는 행위에 경각심이 있습니다.
50,나는 자율 주행 중 조는 행위에 대해 경각심이 없습니다.,자율 주행 기능은 온전하지 않으며 사람의 주행 상황 모니터링과 돌발 상황 대처를 위한 대응을 필요로 합니다.
51,나는 자율 주행 중 조는 행위에 대해 경각심이 없습니다.,자율 주행 기능이 자주 비활성화 될 것 같은 환경에서는 사람이 직접 운전하는 것이 낫습니다.
52,나는 자율 주행 중 조는 행위에 대해 경각심이 없습니다.,나는 자율 주행 시스템이 사용자의 개입 없이 모든 상황을 완벽하게 처리할 것이라고 생각합니다.
53,나는 자율 주행 중 조는 행위에 대해 경각심이 없습니다.,나는 자동 운전 중에도 제어권 전환에 대한 경각심을 가지고 있습니다.
54,나는 자율 주행 중 조는 행위에 대해 경각심이 없습니다.,자율 주행 시스템이 잘 작동하는 경우 시스템의 과속 운전은 허용해도 괜찮습니다.
55,나는 자율 주행 중 조는 행위에 대해 경각심이 없습니다.,때때로 제어권 전환 요청에 응해야 한다고 해도 자율 주행 모드에서 부주의한 상태로 있는 것은 일반적으로 문제가 되지 않습니다.
56,나는 자율 주행 중 조는 행위에 대해 경각심이 없습니다.,조건부 자율 주행 시스템의 지침을 따르지 않으면 교통사고 위험이 증가합니다.
57,나는 자율 주행 중 조는 행위에 대해 경각심이 없습니다.,"나는 조건부 자율 주행 시스템이 자전거 타는 사람들, 보행자, 양보 표지판 등을 알아서 해결할 것이라고 생각합니다."
58,나는 자율 주행 중 조는 행위에 대해 경각심이 없습니다.,상용화된 자율 주행 시스템은 어떠한 문제도 일으키지 않을 것이라 믿습니다.
59,나는 자율 주행 중 조는 행위에 대해 경각심이 없습니다.,여러 단계의 안전 장치가 장착된 자율 주행 시스템을 선호합니다.
60,나는 자율 주행 중 조는 행위에 대해 경각심이 없습니다.,긴급 상황에서의 제동을 처리하기 위해서 자율적인 개입 없이 자율 주행 시스템에만 의존합니다.
61,나는 자율 주행 중 조는 행위에 대해 경각심이 없습니다.,언제든지 자율 주행 시스템의 제어권을 수동으로 가져올 준비가 되어있어야 한다고 생각합니다.
62,나는 자율 주행 중 조는 행위에 대해 경각심이 없습니다.,자율 주행 시스템은 각종 위험에 대해 보수적으로 작동하기 때문에 모든 경고를 심각하게 받아들일 필요는 없습니다.
63,나는 자율 주행 중 조는 행위에 대해 경각심이 없습니다.,사람의 감독 없이도 자율 주행 시스템이 거친 도로나 일방통행 도로를 알아서 주행할 것이라고 믿습니다.
64,나는 자율 주행 중 조는 행위에 대해 경각심이 없습니다.,"만약 차량 제어권 요청이 들어왔을 때, 내가 개입하지 않으면 자율 주행 시스템이 알아서 대응할 것이라고 믿습니다."
65,나는 자율 주행 중 조는 행위에 대해 경각심이 없습니다.,제어권 전환 요청이 오더라도 즉각적으로 대응할 필요는 없다고 생각합니다.
66,나는 자율 주행 중 조는 행위에 대해 경각심이 없습니다.,나는 자율 주행 시스템의 한계를 이해하고 응급 상황에서의 절차를 이해하기 위해 상세한 훈련에 참여하길 원합니다.
67,나는 자율 주행 중 조는 행위에 대해 경각심이 없습니다.,자율 주행 시스템이 부분적으로 오래됐거나 오작동하더라도 차량을 운전하는 것은 괜찮습니다.
68,나는 자율 주행 중 조는 행위에 대해 경각심이 없습니다.,자율 주행 차량을 운전할 때 빨간 불을 지나치는 것은 괜찮습니다.
69,나는 자율 주행 중 조는 행위에 대해 경각심이 없습니다.,나는 노란 불에도 자율 주행 시스템이 운전을 지속하기를 원합니다.
70,"자율주행 시스템에서 발생할 수 있는 문제(e.g. 센서 오작동, 소프트웨어 오류, 해킹 등)가 거의 발생하지 않을 것이며, 발생하더라도 이를 해결해주는 장치가 있을 것이라고 믿습니다.",나는 조건부 자율 주행 중 조는 행위에 경각심이 있습니다.
71,"자율주행 시스템에서 발생할 수 있는 문제(e.g. 센서 오작동, 소프트웨어 오류, 해킹 등)가 거의 발생하지 않을 것이며, 발생하더라도 이를 해결해주는 장치가 있을 것이라고 믿습니다.",자율 주행 기능은 온전하지 않으며 사람의 주행 상황 모니터링과 돌발 상황 대처를 위한 대응을 필요로 합니다.
72,"자율주행 시스템에서 발생할 수 있는 문제(e.g. 센서 오작동, 소프트웨어 오류, 해킹 등)가 거의 발생하지 않을 것이며, 발생하더라도 이를 해결해주는 장치가 있을 것이라고 믿습니다.",자율 주행 기능이 자주 비활성화 될 것 같은 환경에서는 사람이 직접 운전하는 것이 낫습니다.
73,"자율주행 시스템에서 발생할 수 있는 문제(e.g. 센서 오작동, 소프트웨어 오류, 해킹 등)가 거의 발생하지 않을 것이며, 발생하더라도 이를 해결해주는 장치가 있을 것이라고 믿습니다.",나는 자율 주행 시스템이 사용자의 개입 없이 모든 상황을 완벽하게 처리할 것이라고 생각합니다.
74,"자율주행 시스템에서 발생할 수 있는 문제(e.g. 센서 오작동, 소프트웨어 오류, 해킹 등)가 거의 발생하지 않을 것이며, 발생하더라도 이를 해결해주는 장치가 있을 것이라고 믿습니다.",나는 자동 운전 중에도 제어권 전환에 대한 경각심을 가지고 있습니다.
75,"자율주행 시스템에서 발생할 수 있는 문제(e.g. 센서 오작동, 소프트웨어 오류, 해킹 등)가 거의 발생하지 않을 것이며, 발생하더라도 이를 해결해주는 장치가 있을 것이라고 믿습니다.",자율 주행 시스템이 잘 작동하는 경우 시스템의 과속 운전은 허용해도 괜찮습니다.
76,"자율주행 시스템에서 발생할 수 있는 문제(e.g. 센서 오작동, 소프트웨어 오류, 해킹 등)가 거의 발생하지 않을 것이며, 발생하더라도 이를 해결해주는 장치가 있을 것이라고 믿습니다.",때때로 제어권 전환 요청에 응해야 한다고 해도 자율 주행 모드에서 부주의한 상태로 있는 것은 일반적으로 문제가 되지 않습니다.
77,"자율주행 시스템에서 발생할 수 있는 문제(e.g. 센서 오작동, 소프트웨어 오류, 해킹 등)가 거의 발생하지 않을 것이며, 발생하더라도 이를 해결해주는 장치가 있을 것이라고 믿습니다.",조건부 자율 주행 시스템의 지침을 따르지 않으면 교통사고 위험이 증가합니다.
78,"자율주행 시스템에서 발생할 수 있는 문제(e.g. 센서 오작동, 소프트웨어 오류, 해킹 등)가 거의 발생하지 않을 것이며, 발생하더라도 이를 해결해주는 장치가 있을 것이라고 믿습니다.","나는 조건부 자율 주행 시스템이 자전거 타는 사람들, 보행자, 양보 표지판 등을 알아서 해결할 것이라고 생각합니다."
79,"자율주행 시스템에서 발생할 수 있는 문제(e.g. 센서 오작동, 소프트웨어 오류, 해킹 등)가 거의 발생하지 않을 것이며, 발생하더라도 이를 해결해주는 장치가 있을 것이라고 믿습니다.",상용화된 자율 주행 시스템은 어떠한 문제도 일으키지 않을 것이라 믿습니다.
80,"자율주행 시스템에서 발생할 수 있는 문제(e.g. 센서 오작동, 소프트웨어 오류, 해킹 등)가 거의 발생하지 않을 것이며, 발생하더라도 이를 해결해주는 장치가 있을 것이라고 믿습니다.",여러 단계의 안전 장치가 장착된 자율 주행 시스템을 선호합니다.
81,"자율주행 시스템에서 발생할 수 있는 문제(e.g. 센서 오작동, 소프트웨어 오류, 해킹 등)가 거의 발생하지 않을 것이며, 발생하더라도 이를 해결해주는 장치가 있을 것이라고 믿습니다.",긴급 상황에서의 제동을 처리하기 위해서 자율적인 개입 없이 자율 주행 시스템에만 의존합니다.
82,"자율주행 시스템에서 발생할 수 있는 문제(e.g. 센서 오작동, 소프트웨어 오류, 해킹 등)가 거의 발생하지 않을 것이며, 발생하더라도 이를 해결해주는 장치가 있을 것이라고 믿습니다.",언제든지 자율 주행 시스템의 제어권을 수동으로 가져올 준비가 되어있어야 한다고 생각합니다.
83,"자율주행 시스템에서 발생할 수 있는 문제(e.g. 센서 오작동, 소프트웨어 오류, 해킹 등)가 거의 발생하지 않을 것이며, 발생하더라도 이를 해결해주는 장치가 있을 것이라고 믿습니다.",자율 주행 시스템은 각종 위험에 대해 보수적으로 작동하기 때문에 모든 경고를 심각하게 받아들일 필요는 없습니다.
84,"자율주행 시스템에서 발생할 수 있는 문제(e.g. 센서 오작동, 소프트웨어 오류, 해킹 등)가 거의 발생하지 않을 것이며, 발생하더라도 이를 해결해주는 장치가 있을 것이라고 믿습니다.",사람의 감독 없이도 자율 주행 시스템이 거친 도로나 일방통행 도로를 알아서 주행할 것이라고 믿습니다.
85,"자율주행 시스템에서 발생할 수 있는 문제(e.g. 센서 오작동, 소프트웨어 오류, 해킹 등)가 거의 발생하지 않을 것이며, 발생하더라도 이를 해결해주는 장치가 있을 것이라고 믿습니다.","만약 차량 제어권 요청이 들어왔을 때, 내가 개입하지 않으면 자율 주행 시스템이 알아서 대응할 것이라고 믿습니다."
86,"자율주행 시스템에서 발생할 수 있는 문제(e.g. 센서 오작동, 소프트웨어 오류, 해킹 등)가 거의 발생하지 않을 것이며, 발생하더라도 이를 해결해주는 장치가 있을 것이라고 믿습니다.",제어권 전환 요청이 오더라도 즉각적으로 대응할 필요는 없다고 생각합니다.
87,"자율주행 시스템에서 발생할 수 있는 문제(e.g. 센서 오작동, 소프트웨어 오류, 해킹 등)가 거의 발생하지 않을 것이며, 발생하더라도 이를 해결해주는 장치가 있을 것이라고 믿습니다.",나는 자율 주행 시스템의 한계를 이해하고 응급 상황에서의 절차를 이해하기 위해 상세한 훈련에 참여하길 원합니다.
88,"자율주행 시스템에서 발생할 수 있는 문제(e.g. 센서 오작동, 소프트웨어 오류, 해킹 등)가 거의 발생하지 않을 것이며, 발생하더라도 이를 해결해주는 장치가 있을 것이라고 믿습니다.",자율 주행 시스템이 부분적으로 오래됐거나 오작동하더라도 차량을 운전하는 것은 괜찮습니다.
89,"자율주행 시스템에서 발생할 수 있는 문제(e.g. 센서 오작동, 소프트웨어 오류, 해킹 등)가 거의 발생하지 않을 것이며, 발생하더라도 이를 해결해주는 장치가 있을 것이라고 믿습니다.",자율 주행 차량을 운전할 때 빨간 불을 지나치는 것은 괜찮습니다.
90,"자율주행 시스템에서 발생할 수 있는 문제(e.g. 센서 오작동, 소프트웨어 오류, 해킹 등)가 거의 발생하지 않을 것이며, 발생하더라도 이를 해결해주는 장치가 있을 것이라고 믿습니다.",나는 노란 불에도 자율 주행 시스템이 운전을 지속하기를 원합니다.
91,나는 조건부 자율 주행 중 조는 행위에 경각심이 있습니다.,자율 주행 기능은 온전하지 않으며 사람의 주행 상황 모니터링과 돌발 상황 대처를 위한 대응을 필요로 합니다.
92,나는 조건부 자율 주행 중 조는 행위에 경각심이 있습니다.,자율 주행 기능이 자주 비활성화 될 것 같은 환경에서는 사람이 직접 운전하는 것이 낫습니다.
93,나는 조건부 자율 주행 중 조는 행위에 경각심이 있습니다.,나는 자율 주행 시스템이 사용자의 개입 없이 모든 상황을 완벽하게 처리할 것이라고 생각합니다.
94,나는 조건부 자율 주행 중 조는 행위에 경각심이 있습니다.,나는 자동 운전 중에도 제어권 전환에 대한 경각심을 가지고 있습니다.
95,나는 조건부 자율 주행 중 조는 행위에 경각심이 있습니다.,자율 주행 시스템이 잘 작동하는 경우 시스템의 과속 운전은 허용해도 괜찮습니다.
96,나는 조건부 자율 주행 중 조는 행위에 경각심이 있습니다.,때때로 제어권 전환 요청에 응해야 한다고 해도 자율 주행 모드에서 부주의한 상태로 있는 것은 일반적으로 문제가 되지 않습니다.
97,나는 조건부 자율 주행 중 조는 행위에 경각심이 있습니다.,조건부 자율 주행 시스템의 지침을 따르지 않으면 교통사고 위험이 증가합니다.
98,나는 조건부 자율 주행 중 조는 행위에 경각심이 있습니다.,"나는 조건부 자율 주행 시스템이 자전거 타는 사람들, 보행자, 양보 표지판 등을 알아서 해결할 것이라고 생각합니다."
99,나는 조건부 자율 주행 중 조는 행위에 경각심이 있습니다.,상용화된 자율 주행 시스템은 어떠한 문제도 일으키지 않을 것이라 믿습니다.
100,나는 조건부 자율 주행 중 조는 행위에 경각심이 있습니다.,여러 단계의 안전 장치가 장착된 자율 주행 시스템을 선호합니다.
101,나는 조건부 자율 주행 중 조는 행위에 경각심이 있습니다.,긴급 상황에서의 제동을 처리하기 위해서 자율적인 개입 없이 자율 주행 시스템에만 의존합니다.
102,나는 조건부 자율 주행 중 조는 행위에 경각심이 있습니다.,언제든지 자율 주행 시스템의 제어권을 수동으로 가져올 준비가 되어있어야 한다고 생각합니다.
103,나는 조건부 자율 주행 중 조는 행위에 경각심이 있습니다.,자율 주행 시스템은 각종 위험에 대해 보수적으로 작동하기 때문에 모든 경고를 심각하게 받아들일 필요는 없습니다.
104,나는 조건부 자율 주행 중 조는 행위에 경각심이 있습니다.,사람의 감독 없이도 자율 주행 시스템이 거친 도로나 일방통행 도로를 알아서 주행할 것이라고 믿습니다.
105,나는 조건부 자율 주행 중 조는 행위에 경각심이 있습니다.,"만약 차량 제어권 요청이 들어왔을 때, 내가 개입하지 않으면 자율 주행 시스템이 알아서 대응할 것이라고 믿습니다."
106,나는 조건부 자율 주행 중 조는 행위에 경각심이 있습니다.,제어권 전환 요청이 오더라도 즉각적으로 대응할 필요는 없다고 생각합니다.
107,나는 조건부 자율 주행 중 조는 행위에 경각심이 있습니다.,나는 자율 주행 시스템의 한계를 이해하고 응급 상황에서의 절차를 이해하기 위해 상세한 훈련에 참여하길 원합니다.
108,나는 조건부 자율 주행 중 조는 행위에 경각심이 있습니다.,자율 주행 시스템이 부분적으로 오래됐거나 오작동하더라도 차량을 운전하는 것은 괜찮습니다.
109,나는 조건부 자율 주행 중 조는 행위에 경각심이 있습니다.,자율 주행 차량을 운전할 때 빨간 불을 지나치는 것은 괜찮습니다.
110,나는 조건부 자율 주행 중 조는 행위에 경각심이 있습니다.,나는 노란 불에도 자율 주행 시스템이 운전을 지속하기를 원합니다.
111,자율 주행 기능은 온전하지 않으며 사람의 주행 상황 모니터링과 돌발 상황 대처를 위한 대응을 필요로 합니다.,자율 주행 기능이 자주 비활성화 될 것 같은 환경에서는 사람이 직접 운전하는 것이 낫습니다.
112,자율 주행 기능은 온전하지 않으며 사람의 주행 상황 모니터링과 돌발 상황 대처를 위한 대응을 필요로 합니다.,나는 자율 주행 시스템이 사용자의 개입 없이 모든 상황을 완벽하게 처리할 것이라고 생각합니다.
113,자율 주행 기능은 온전하지 않으며 사람의 주행 상황 모니터링과 돌발 상황 대처를 위한 대응을 필요로 합니다.,나는 자동 운전 중에도 제어권 전환에 대한 경각심을 가지고 있습니다.
114,자율 주행 기능은 온전하지 않으며 사람의 주행 상황 모니터링과 돌발 상황 대처를 위한 대응을 필요로 합니다.,자율 주행 시스템이 잘 작동하는 경우 시스템의 과속 운전은 허용해도 괜찮습니다.
115,자율 주행 기능은 온전하지 않으며 사람의 주행 상황 모니터링과 돌발 상황 대처를 위한 대응을 필요로 합니다.,때때로 제어권 전환 요청에 응해야 한다고 해도 자율 주행 모드에서 부주의한 상태로 있는 것은 일반적으로 문제가 되지 않습니다.
116,자율 주행 기능은 온전하지 않으며 사람의 주행 상황 모니터링과 돌발 상황 대처를 위한 대응을 필요로 합니다.,조건부 자율 주행 시스템의 지침을 따르지 않으면 교통사고 위험이 증가합니다.
117,자율 주행 기능은 온전하지 않으며 사람의 주행 상황 모니터링과 돌발 상황 대처를 위한 대응을 필요로 합니다.,"나는 조건부 자율 주행 시스템이 자전거 타는 사람들, 보행자, 양보 표지판 등을 알아서 해결할 것이라고 생각합니다."
118,자율 주행 기능은 온전하지 않으며 사람의 주행 상황 모니터링과 돌발 상황 대처를 위한 대응을 필요로 합니다.,상용화된 자율 주행 시스템은 어떠한 문제도 일으키지 않을 것이라 믿습니다.
119,자율 주행 기능은 온전하지 않으며 사람의 주행 상황 모니터링과 돌발 상황 대처를 위한 대응을 필요로 합니다.,여러 단계의 안전 장치가 장착된 자율 주행 시스템을 선호합니다.
120,자율 주행 기능은 온전하지 않으며 사람의 주행 상황 모니터링과 돌발 상황 대처를 위한 대응을 필요로 합니다.,긴급 상황에서의 제동을 처리하기 위해서 자율적인 개입 없이 자율 주행 시스템에만 의존합니다.
121,자율 주행 기능은 온전하지 않으며 사람의 주행 상황 모니터링과 돌발 상황 대처를 위한 대응을 필요로 합니다.,언제든지 자율 주행 시스템의 제어권을 수동으로 가져올 준비가 되어있어야 한다고 생각합니다.
122,자율 주행 기능은 온전하지 않으며 사람의 주행 상황 모니터링과 돌발 상황 대처를 위한 대응을 필요로 합니다.,자율 주행 시스템은 각종 위험에 대해 보수적으로 작동하기 때문에 모든 경고를 심각하게 받아들일 필요는 없습니다.
123,자율 주행 기능은 온전하지 않으며 사람의 주행 상황 모니터링과 돌발 상황 대처를 위한 대응을 필요로 합니다.,사람의 감독 없이도 자율 주행 시스템이 거친 도로나 일방통행 도로를 알아서 주행할 것이라고 믿습니다.
124,자율 주행 기능은 온전하지 않으며 사람의 주행 상황 모니터링과 돌발 상황 대처를 위한 대응을 필요로 합니다.,"만약 차량 제어권 요청이 들어왔을 때, 내가 개입하지 않으면 자율 주행 시스템이 알아서 대응할 것이라고 믿습니다."
125,자율 주행 기능은 온전하지 않으며 사람의 주행 상황 모니터링과 돌발 상황 대처를 위한 대응을 필요로 합니다.,제어권 전환 요청이 오더라도 즉각적으로 대응할 필요는 없다고 생각합니다.
126,자율 주행 기능은 온전하지 않으며 사람의 주행 상황 모니터링과 돌발 상황 대처를 위한 대응을 필요로 합니다.,나는 자율 주행 시스템의 한계를 이해하고 응급 상황에서의 절차를 이해하기 위해 상세한 훈련에 참여하길 원합니다.
127,자율 주행 기능은 온전하지 않으며 사람의 주행 상황 모니터링과 돌발 상황 대처를 위한 대응을 필요로 합니다.,자율 주행 시스템이 부분적으로 오래됐거나 오작동하더라도 차량을 운전하는 것은 괜찮습니다.
128,자율 주행 기능은 온전하지 않으며 사람의 주행 상황 모니터링과 돌발 상황 대처를 위한 대응을 필요로 합니다.,자율 주행 차량을 운전할 때 빨간 불을 지나치는 것은 괜찮습니다.
129,자율 주행 기능은 온전하지 않으며 사람의 주행 상황 모니터링과 돌발 상황 대처를 위한 대응을 필요로 합니다.,나는 노란 불에도 자율 주행 시스템이 운전을 지속하기를 원합니다.
130,자율 주행 기능이 자주 비활성화 될 것 같은 환경에서는 사람이 직접 운전하는 것이 낫습니다.,나는 자율 주행 시스템이 사용자의 개입 없이 모든 상황을 완벽하게 처리할 것이라고 생각합니다.
131,자율 주행 기능이 자주 비활성화 될 것 같은 환경에서는 사람이 직접 운전하는 것이 낫습니다.,나는 자동 운전 중에도 제어권 전환에 대한 경각심을 가지고 있습니다.
132,자율 주행 기능이 자주 비활성화 될 것 같은 환경에서는 사람이 직접 운전하는 것이 낫습니다.,자율 주행 시스템이 잘 작동하는 경우 시스템의 과속 운전은 허용해도 괜찮습니다.
133,자율 주행 기능이 자주 비활성화 될 것 같은 환경에서는 사람이 직접 운전하는 것이 낫습니다.,때때로 제어권 전환 요청에 응해야 한다고 해도 자율 주행 모드에서 부주의한 상태로 있는 것은 일반적으로 문제가 되지 않습니다.
